Name,Site,TRUE,Fall,Fall2
Endor,https://www.endor.com/,Endor Protocol,E-Dinar Coin,
GOToken,https://parkingo.io/,ParkinGo,GoNetwork,
Havven,https://havven.io/,Havven,nUSD,
IQ Receipt,https://iq.cash/,IQ.cash,Everipedia,
Karma,https://www.karma.red/,Karma,KARMA,
MediBloc,https://medibloc.org/,MediBloc [QRC20],MediBloc [ERC20],
NEO,https://neo.org/,NEO,Gas,
Neuromation,https://neuromation.io/,Neurotoken,NetKoin,
Nimiq,https://nimiq.com/,Nimiq Exchange Token,NetCoin,Nimiq
Ontology Network,https://ont.io/,Ontology,SoMee.Social,ONG
Oyster,https://oysterprotocol.com/,Oyster,Oyster Shell,
Pundi X,https://www.pundix.com/,Pundi X,Pundi X NEM,
Robin8,https://robin8put.org/,Profile Utility Token,PutinCoin,
Spectre,https://spectre.ai/,Spectre.ai Dividend Token,Spectre.ai Utility Token,
Storj,https://storj.io/,Storj,Storjcoin X,
Themis Network,https://themis.network/,Themis,GET Protocol,
TokenStars TEAM,https://tokenstars.com/team/,TEAM (TokenStars),ACE (TokenStars),
TokenStars ACE,https://tokenstars.com/ace/,ACE (TokenStars),TEAM (TokenStars),
Waves,https://wavesplatform.com/,Waves,Waves Community Token,
WAWLLET,https://www.wawllet.com/,WCOIN,WinToken,
Zipper,https://zipper.org/,Zipper,Zippie,
