Main_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4
0chain,0chain.net,0chain,,
0x,0xproject.com,0x,,
0xcert Protocol,0xcert.org,0xcert,,
1World,ico.1worldonline.com,1world,,
2Key Network,2Key,,,
300 Token,300tokensparta.com,300-token,,
4New,4new.io,4new,,
8BT,8 Circuit Studios,,,
AB-CHAIN,tokensale.ab-chain.com,ab-chain-rtb,,
AbacasXchange,Abacas,,,
ABCC Token,abcc.com,abcc-token,,
ABIO Coin,ABIO,,,
ABLE,able-project.io,able,,
Abulaba,abulaba.co,abulaba,,
AC (AlpenCoin),AC,AlpenCoin,,
ACG Chain,ACG,,,
Action Coin,Action,,,
Adbank,adbank.network,adbank,,
AdEx,adex.network,adx-net,,
AdHive,adhive.tv,adhive,,
Aditus,aditus.net,aditus,,
Adshares,adshares.net,adshares,,
AdToken,adtoken.com,adtoken,,
Aelf,aelf.io,aelf,,
Aeon,aeon.cash,aeon,,
Aeron,aeron.aero,aeron,,
Aeternity,aeternity.com,aeternity,,
Agrello,agrello.org,agrello-delta,,
AidCoin,aidcoin.co,aidcoin,,
Aigang,aigang.network,aigang,,
Aion,aion.network,aion,,
Air Swap,airswap.io,airswap,,
AIRBLOC Protocol,airbloc.org,airbloc,,
AirToken,airfox.com,airtoken,,
AISI Coin,AISI,,,
Akash Network,Akash,,,
Aktie Social,Aktie,,,
ALAX,alax.io,alax,,
Alchemint,alchemint.io,alchemint-standards,Alchemint Standards,
Algory Project,Algory,,,
ALIS,alismedia.jp,alis,,
All Sports,allsportschain.com,all-sports,,
all.me,Allaboutme,,,
ALMBank,ALMB,,,
AlphaPoint Public Network,AlphaPoint,,,
Alttex,alttex.io,alttex,,
Ambrosus,ambrosus.com,amber,,
AMLT,amlt.coinfirm.io,amlt,,
AMO Coin,AMO,amo.foundation,amo-coin,
Amon,amon.tech,amon,,
AMPLE! Coin,AMPLE,AMPLE!,,
APEX,apexnetwork.io,apex,,
Aphelion,aphelion.org,aphelion,,
APIS,apisplatform.io,apis,,
AppCoins,appcoins.io,appcoins,,
APX,apxv.org,apx,,
Aragon,aragon.org,aragon,,
ARAW Token,ARAW,,,
Arbidex,arbidex.uk.com,arbidex,,
ArcBlock,arcblock.io,arcblock,,
Argyle Coin,Argyle,,,
ARK,ark.io,ark,,
ARToken,artoken.io,cappasity,,
Asset Allocation Token,AAT,aatnetworks,,
Aston,aston.company,aston,,
Astronaut,astronaut.capital,astro,,
ATB Coin,atbcoin.com,atbcoin,,
Atlant,atlant.io,atlant,,
AtlantICO Network,AtlantICO,,,
Atlantis Blue,atlantisblue.org,atlantis-blue-digital-token,,
ATN,atn.io,atn,,
Atonomi,atonomi.io,atonomi,,
Auctus,auctus.org,auctus,,
Augmentors,augmentorsgame.com,databits,,
Augur,augur.net,augur,,
Aurora IDEX,auroradao.com,aurora-dao,,
Authorship,authorship.com,authorship,,
Autonio,auton.io,autonio,,
Aventus,aventus.io,aventus,,
AVINOC,avinoc.com,avinoc,,
aXpire,axpire.io,axpire,,
B2BX,b2bx.exchange,b2bx,,
BaaSid,baasid.com,baasid,,
BABB,getbabb.com,babb,,
Back to Earth,backto.earth,starcredits,,
Banca,banca.world,banca,,
Bancor,bancor.network,bancor,,
Bank of hash power,bhpcash.io,bhpcash,,
Bankcoin,bankcoin.global,bankcoin,,
Bankera,bankera.com,bankera,,
BANKEX,bankex.com,bankex,,
Basic Attention,basicattentiontoken.org,basic-attention-token,,
Basic Income Guarantee (BIG),Basic Income Guarantee,BIG,,
Beaxy Exchange,Beaxy,,,
Beluga Pay,belugapay.com,belugapay,,
BetterBetting,betr.org,betterbetting,,
Beyond The Void,beyond-the-void.net,nexium,,
Bezant,bezant.io,bezant,,
Bezop,ecom.bezop.io,bezop,,
Bibox,bibox365.com,bibox-token,,
Bigbom,bigbom.com,bigbom,,
Billionaire Token,billionairetoken.com,billionaire-token,Billionaire,
Binance,binance.com,binance-coin,,
BioCoin,biocoin.bio,biocoin,,
Bionic,bionic-coin.io,bionic,,
Biotron,biotron.io,biotron,,
BitBase,bitbase.io,bitbase,,
BitClave,bitclave.com,bitclave,,
BitCryptoNews,bitcryptonews.ru,,,
BitCrystals,bitcrystals.com,bitcrystals,,
BitDegree,bitdegree.org,bitdegree,,
BitDice,ico.bitdice.me,bitdice,,
BiteCoin Network,BiteCoin,,,
BitForex,bitforex.com,https:,,
Bitjob,bitjob.io,student-coin,,
Bitmart,bitmart.com,bitmart-token,,
Bitnation,tse.bitnation.co,bitnation,,
Bitpark Coin,Bitpark,,,
Bitplus Network,Bitplus,,,
BitRent,bitrent.io,bitrent,,
BitRewards,bitrewards.network,bitrewards,,
BitScreener,bitx.bitscreener.com,bitscreener-token,,
BitShares,bitshares.org,bitshares,,
Bitsive Exchange,Bitsive,,,
Bitspark (Zephyr),zephyr.bitspark.io,zephyr,Bitspark,
Bittwatt,bittwatt.com,bittwatt,,
Blackmoon,blackmoonplatform.com,blackmoon,,
BlitzPredict,blitzpredict.io,blitzpredict,,
Block array,blockarray.com,block-array,,
Block-chain.com,Block-chain,,,
BlockCAT,blockcat.io,blockcat,,
BlockCDN,blockcdn.org,blockcdn,,
Blockchain Neural System,BNS,,,
Blockchain Traded Fund,BTF,,,
Blocklancer,blocklancer.net,blocklancer,,
BlockMesh,blockmesh.io,blockmesh,,
Blockpass,blockpass.org,blockpass,,
BlockPool,blockpool.io,blockpool,,
Blockport,blockport.io,blockport,,
Blocktix,blocktix.io,blocktix,,
BlockV,blockv.io,blockv,,
Bloom,bloom.co,bloomtoken,,
Blue Whale,bluewhale.foundation,blue-whale-token,Blue Whale Token,
Bluzelle,bluzelle.com,bluzelle,,
Bob's Repair,bobsrepair.com,bobs-repair,,
Bodhi,bodhi.network,bodhi,,
Bolenum,bolenum.com,bolenum,,
Bond Film Platform,Bond,,,
Bondkick Syndicate,Bondkick,,,
Bonpay,bonpay.com,bonpay,,
Boomstarter.Network,Boomstarter,,,
BOScoin,boscoin.io,boscoin,,
Bottos,bottos.org,bottos,,
Bounty0x,bounty0x.io,bounty0x,,
BOUTSPRO,bouts.pro,boutspro,,
Bread,token.breadapp.com,bread,,
Breeze Coin,Breeze,,,
Brickblock,brickblock.io,brickblock,,
Bridge Protocol,bridgeprotocol.io,bridge-protocol,,
Budbo,budbo.io,budbo,,
Buying.com,Buying,,,
Byteball,byteball.org,byteball,,
Bytecoin,bytecoin.org,bytecoin-bcn,,
Bytom,bytom.io,bytom,,
C3C.Network,C3C,,,
CanYa,canya.io,canyacoin,,
Cappasity,ico.cappasity.com,cappasity,ARToken,
CarBlock,carblock.io,carblock,,
Cardano,cardano.org,cardano,,
Cardstack,cardstack.com,cardstack,,
CargoX,cargox.io,cargox,,
CarTaxi,cartaxi.io,cartaxi-token,,
CarVertical,carvertical.com,carvertical,,
Cashaa,cashaa.com,cashaa,,
CashBet,coin.cashbet.com,cashbet-coin,,
CCET Project,CCET,,,
Ccore,ccore.io,ccore,,
CEDEX,cedex.com,cedex-coin,,
CEEK VR,ceek.io,ceek-vr,,
Celestial Coin,Celestial,,,
Centaure,centaure.io,centaure,,
CFun,cfunproject.com,cfun,,
ChainLink,smartcontract.com,chainlink,,
ChainZilla.io,ChainZilla,,,
Change Bank,getchange.com,change,,
ChronoBank,chronobank.io,chronobank,,
ChronoLogic,chronologic.network,chronologic,,
Cindicator,cindicator.com,cindicator,,
Civic,civic.com,civic,,
Clairety Inc.,Clairety,,,
Clarity Project,Clarity,,,
ClearCoin,clearcoin.co,clearcoin,,
ClearPoll,clearpoll.com,clearpoll,,
Cloud Token,token.cloudwith.me,cloud,,
CNN,cnntoken.io,content-neutrality-network,,
Cobinhood,cobinhood.com,cobinhood,,
Cobol Network,Cobol,,,
Cofound.It,cofound.it,cofound-it,,
Coin Bloq,Coin Blog,,,
CoinFi,coinfi.com,coinfi,,
Coinlancer,coinlancer.io,coinlancer,,
CoinPoker,coinpoker.com,coinpoker,,
Coinvest,coinve.st,coinvest,,
Color,Color Platform,,,
Colu Local Network (CLN),cln.network,colu-local-network,,
Commerce Block,CommerceBlock,commerceblock.com,commerceblock,
Commodity Ad Network (CDX),Commodity Ad Network,CDX,commodityadnetwork.com,commodity-ad-network
COMSA,comsa.io,comsa-xem,,
ConnectJob,ico.connectjob.io,connectjob,,
Consensus,consensus.ai,consensus,,
Consentium,consentium.net,consentium,,
Constellation Labs,constellationlabs.io,constellation,,
ContentBox,contentbox.one,contentbox,,
ContractNet,contractnet.com,contractnet,,
