ICO_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4,Sinonym5,Sinonym6
0chain,0chain.net,0chain,,,0chain,
0penProductDB,openproductdb.com,,,,,
0x,0xproject.com,0x,,,0x,
0xBitcoin,0xbitcoin.org,,,,,
0xcert Protocol,0xcert.org,0xcert,,,0xcert,
100Tokens,100tokens.com,,,,,
108 Token,108token.com,,,,,
12SHIPS,12ships.com,,,,,
1APayment,1apayment.com,,,,,
1KCoin,1kcoin.io,,,,,
1World,ico.1worldonline.com,1world,,,1World,
1WorldBlockchain,1worldblockchain.com,,,,,
21 Million,21million.co.uk,,,,,
2100NEWS,2100news.io,,,,,
22x Fund,22xfund.com,,,,,
27v,27v.io,,,,,
2GIVE,2give.info,,,,,
2Key Network,2Key,,,,,
2TF,2tf.network,,,,,
300 Token,300tokensparta.com,300-token,300,,300 Token,
300cubits,,300cubits TEU,,,,
3cCoin,3ccoin.io,,,,,
3D-Token,3d-token.com,,,,,
3DChain,3dchain.io,,,,,
3DES,3des.network,,,,,
42-coin,42-coin.org,,,,,
433Token,,433,433 Token,433token,,
4ARTechnologies,4art-technologies.com,,,,,
4lions.pro,4lions.pro,,,,,
4New,4new.io,4new,,,4NEW,
5 Coin Exchange,5coin.io,,,,,
777.Bingo,bingo.fun,,,,,
7Seconds,7seconds.io,,,,,
7ype,7ype.com,,,,,
8 Circuit Studios,8circuitstudios.io,,,,,
808Coin,808bass.space,808bass,,,,
88 Coin,88coin.io,,,,,
8Bit,8-bit.ga,8-bit,,,,
8BT,8 Circuit Studios,,,,,
8gig,8gig.io,,,,,
8th Continent,8cico.com,,,,,
A-TOKEN,a-token.io,,,,,
A2B Taxi,a2btaxi.io,,,,,
A7 Core,a7core.io,,,,,
AAA Coin,aaacoin.us,,,,,
Aamicoin,aamicoin.com,,,,,
Aaramco,aramcocoin.io,,,,,
AB-CHAIN,tokensale.ab-chain.com,ab-chain-rtb,,ab-chain.com,AB-Chain RTB,
Abab DAO,abab.io,,,,,
AbacasXchange,Abacas,,,,,
Abacus Protocol,abacusprotocol.com,,,,,
ABCC Token,abcc.com,abcc-token,,,ABCC Token,
ABE Token,abetoken.org,,,,,
ABELE,abelegroup.io,,,,,
Abeona,abeonacoin.com,,,,,
ABIO Coin,ABIO,,,,,
AbjCoin,abjcoin.org,,,,,
ABL,abl.network,,,,,
ABLE,able-project.io,able,,,ABLE,
Abot Coin,abotcoin.com,,,,,
ABR,abrlab.com,,,,,
Abriex,abriex.com,,,,,
Abulaba,abulaba.co,abulaba,,,Abulaba,
AC (AlpenCoin),AC,AlpenCoin,,,,
AC3,ac3.io,,,,,
ACA NETWORK,aca.network,,,,,
Academia Lingu,ico.academialingu.com,,,,,
Academic Coin,academiccoin.io,,,,,
Academy,academytoken.com,,,,,
AcademyCoin,academycoin.io,,,,,
Accelerator Network,accelerator.network,accelerator,,,,
Access Network,acxnetwork.com,,,,,
ACChain,acchain.org,,,,,
Accord,accordtoken.com,,,,,
Accounting Blockchain,theaccountingblockchain.io,,,,,
