Порог для Star,> =8,из 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,"0,00","1,00","2,00","2,60","3,40","4,00","5,00","6,00","6,80","7,50","8,00","9,00","10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,"0,99","1,99","2,59","3,39","3,99","4,99","5,99","6,79","7,49","7,99","8,99","9,99","10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Количество целых баллов,0-0.9,1-1.9,2.0-2. 5,2.6-3.3,3.4-3.9,4-4.9,5.0-5.9,6.0-6.7,6.8-7.4,7.5-7.9,8.0-8.9,9.0 - 9.9,10,Expert_Name1,Expert_Name2,Expert_Name3,Expert_Name4,Expert_Name5,Expert_Name6,Expert_Name7,Expert_Name8,Expert_Name9,Expert_Name10,Expert_Name11,Expert_Name12,Expert_Name13,Expert_Name14,Expert_Name15,Expert_Name16,Expert_Name17,Expert_Name18,Expert_Name19,Expert_Name20,Expert_Name21,Expert_Name22,Expert_Name23,Expert_Name24,Expert_Name25,Expert_Name26,Expert_Name27,Expert_Name28,Expert_Name29,Expert_Name30,Expert_Name31,Expert_Name32,Expert_Name33,Expert_Name34,Expert_Name35,Expert_Name36
3,"1,70",,,,"5,10",,,,"8,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Stealth,Stealth,Stealth,Stealth,Solid,Solid,Solid,Solid,Stellar,Stellar,Stellar,Stellar,Stellar,ICOwhitelists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bad,Bad,Bad,Bad,Neutral,Neutral,Neutral,Neutral,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Positive,Positive,CrushCrypto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,1,2,2,2,2,3,3,3,3,3,Hypernum Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"1,30",,,"3,80",,,"6,25",,,"8,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Negative,Negative,Negative,Neutral,Neutral,Neutral,Bullish,Bullish,Bullish,Cash Cow,Cash Cow,Cash Cow,Cash Cow,Coin Bloq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
